taz_id,far_prcnt_estimate_q8,far_estimate_count,units_per_acre_q8,units_per_acre_estimate_count
504.0,229.5684,902,100.0,902
505.0,32.7954,1509,14.285714000000002,1509
506.0,114.7842,981,50.0,981
507.0,57.3921,1639,25.0,1639
508.0,61.2182,586,26.666665999999996,586
509.0,45.9136,679,20.0,679
510.0,9.5653,955,4.166666,955
511.0,20.869799999999998,1867,9.090909,1867
512.0,12.0825,1370,5.263157,1370
513.0,12.753800000000002,995,5.555555,995
514.0,16.3977,2410,7.142857000000001,2410
515.0,16.3977,1918,7.142857000000001,1918
516.0,16.3977,1318,7.142857000000001,1318
517.0,17.6591,1651,7.6923070000000004,1651
518.0,16.3977,1675,7.142857000000001,1675
519.0,91.8273,2361,40.0,2361
520.0,16.3977,1311,7.142857000000001,1311
521.0,45.9136,1265,20.0,1265
522.0,17.6591,1730,7.6923070000000004,1730
523.0,19.1307,2331,8.333333,2331
524.0,16.3977,1901,7.142857000000001,1901
525.0,16.3977,1589,7.142857000000001,1589
526.0,17.6591,2285,7.692307,2285
527.0,24.165,2432,10.526314999999997,2432
528.0,20.94710000000002,1540,9.124579000000008,1540
529.0,22.9568,1006,10.0,1006
530.0,76.5228,1160,33.333333,1160
531.0,229.5684,938,100.0,938
532.0,344.35260000000005,633,150.0,633
533.0,54.659099999999995,1030,23.809523,1030
534.0,31.89076000000005,1245,13.891625200000023,1245
535.0,45.9136,1213,20.0,1213
536.0,52.97729999999999,671,23.076923,671
537.0,550.9641600000012,474,239.99999980000058,474
538.0,688.7052000000001,621,300.0,621
539.0,31.759760000000025,123,13.83458600000001,123
540.0,45.9136,986,20.0,986
541.0,20.869799999999998,1605,9.090909,1605
542.0,32.7954,569,14.285714000000002,569
543.0,83.4794,673,36.363636,673
544.0,45.9136,1157,20.0,1157
545.0,52.97729999999999,561,23.076923,561
546.0,223.30740000000097,769,97.2727270000004,769
547.0,45.9136,1142,20.0,1142
548.0,45.9136,1723,20.0,1723
549.0,142.59724000000006,618,62.115384400000025,618
550.0,32.7954,902,14.285714000000002,902
551.0,191.30700000000002,917,83.333333,917
552.0,65.59089999999999,518,28.571428000000004,518
553.0,38.2614,708,16.666666,708
554.0,45.9136,705,20.0,705
555.0,98.3864,836,42.857141999999996,836
556.0,168.3501,104,73.333333,104
557.0,382.614,140,166.666666,140
558.0,317.8639,362,138.461538,362
559.0,28.695999999999998,1375,12.5,1375
560.0,57.3921,667,25.0,667
561.0,70.6364,507,30.76923,507
562.0,57.3921,674,25.0,674
563.0,803.4893999999999,821,350.0,821
564.0,57.3921,1178,25.0,1178
565.0,459.1368,520,200.0,520
566.0,229.5684,1218,100.0,1218
567.0,86.08809999999998,519,37.5,519
568.0,153.0456,1426,66.666666,1426
569.0,153.0456,879,66.666666,879
570.0,20.869799999999998,533,9.090909,533
571.0,19.1307,820,8.333333,820
572.0,20.869799999999998,869,9.090909,869
573.0,17.6591,1024,7.692307,1024
574.0,459.1368,581,200.0,581
575.0,16.3977,962,7.142857000000001,962
576.0,17.6591,1111,7.6923070000000004,1111
577.0,28.695999999999998,1047,12.5,1047
578.0,344.35260000000005,978,150.0,978
579.0,76.5228,321,33.333333,321
580.0,91.8273,289,40.0,289
581.0,20.869799999999998,580,9.090909,580
582.0,153.0456,919,66.666666,919
583.0,22.9568,1114,10.0,1114
584.0,19.1307,723,8.333333,723
585.0,19.1307,886,8.333333,886
586.0,20.869799999999998,1097,9.090909,1097
587.0,19.1307,327,8.333333,327
588.0,19.1307,937,8.333333,937
589.0,41.7397,937,18.181818,937
590.0,28.695999999999998,598,12.5,598
591.0,45.9136,1114,20.0,1114
592.0,76.5228,723,33.333333,723
593.0,45.9136,503,20.0,503
594.0,229.5684,1064,100.0,1064
