taz_id,count,far_estimate_q8
1268.0,3350,3350
1269.0,2714,2714
1270.0,4999,4999
1271.0,4407,4407
1273.0,1108,1108
1274.0,1409,1409
1275.0,900,900
1276.0,866,866
1277.0,1866,1866
1278.0,1080,1080
1279.0,1459,1459
1280.0,3703,3703
1281.0,1034,1034
1282.0,3858,3858
1283.0,1380,1380
1284.0,1787,1787
1285.0,1828,1828
1286.0,1586,1586
1287.0,338,338
1288.0,3292,3292
1289.0,1811,1811
1290.0,4298,4298
1291.0,2164,2164
1292.0,2890,2890
1293.0,1625,1625
1294.0,2,2
1295.0,1977,1977
1296.0,1379,1379
1297.0,1806,1806
1298.0,465,465
1299.0,571,571
1300.0,581,581
1301.0,954,954
1302.0,1827,1827
1303.0,1165,1165
1304.0,1926,1926
1305.0,1122,1122
1306.0,2979,2979
1307.0,2049,2049
1308.0,1576,1576
1309.0,1248,1248
1310.0,724,724
1311.0,3180,3180
1312.0,784,784
1313.0,1356,1356
1314.0,1772,1772
1315.0,797,797
1316.0,565,565
1317.0,1176,1176
1318.0,1970,1970
1319.0,2300,2300
1320.0,1843,1843
1321.0,1843,1843
1322.0,1928,1928
1323.0,2761,2761
1324.0,871,871
1325.0,2110,2110
1326.0,1704,1704
1327.0,1546,1546
1328.0,1126,1126
1329.0,1060,1060
1330.0,1193,1193
1331.0,1214,1214
1332.0,1330,1330
1333.0,1144,1144
1334.0,1528,1528
1335.0,1958,1958
1336.0,4033,4033
1337.0,1262,1262
1338.0,904,904
1339.0,1599,1599
1340.0,1514,1514
1341.0,1454,1454
1342.0,981,981
1343.0,983,983
1344.0,852,852
1345.0,772,772
1346.0,1015,1015
1347.0,1538,1538
1348.0,927,927
1349.0,1564,1564
1350.0,1686,1686
1351.0,1269,1269
1352.0,1432,1432
1353.0,3057,3057
1354.0,3128,3128
1355.0,1022,1022
1356.0,1586,1586
1357.0,1037,1037
1358.0,1586,1586
1359.0,1963,1963
1360.0,786,786
1361.0,313,313
1362.0,991,991
1363.0,587,587
1364.0,1069,1069
1365.0,1695,1695
1366.0,3525,3525
1367.0,1435,1435
1368.0,1185,1185
1369.0,1724,1724
1370.0,2611,2611
1371.0,1409,1409
1372.0,1052,1052
1373.0,799,799
1374.0,1197,1197
1375.0,1771,1771
1376.0,1265,1265
1377.0,878,878
1378.0,1491,1491
1379.0,971,971
1380.0,1823,1823
1381.0,2602,2602
1382.0,2026,2026
1383.0,1771,1771
1384.0,1968,1968
1385.0,1277,1277
1386.0,1199,1199
1387.0,1454,1454
1388.0,1294,1294
1389.0,2435,2435
1390.0,2631,2631
1391.0,2273,2273
1392.0,1760,1760
1393.0,1681,1681
1394.0,2719,2719
1395.0,2068,2068
1396.0,3471,3471
1397.0,2045,2045
1398.0,1438,1438
1399.0,1001,1001
1400.0,710,710
1401.0,999,999
1402.0,3070,3070
1403.0,3967,3967
1404.0,1108,1108
1405.0,966,966
1406.0,703,703
1407.0,1179,1179
1408.0,1981,1981
1409.0,2648,2648
1410.0,1720,1720
1411.0,1960,1960
1412.0,2964,2964
1413.0,1084,1084
1414.0,2729,2729
1415.0,1471,1471
1416.0,1335,1335
1417.0,139,139
1418.0,1733,1733
1419.0,1154,1154
1420.0,2734,2734
1421.0,2101,2101
1422.0,2244,2244
1423.0,2390,2390
1424.0,880,880
